"","X","ID","day","beep","obsNumber","missed","Sad","Angry","Disappointed","Ashamed","Anxious","Stressed","Proud","Happy","Content","Relieved"
"7786",7786,248,4,4,34,1,0.06,0.14,0.08,0.12,0.08,0.05,0.96,0.92,0.93,0.96
"7787",7787,248,4,5,35,1,0.11,0.13,0.05,0.1,0.1,0.05,0.93,0.89,0.9,0.96
"7788",7788,248,4,6,36,1,0.12,0.05,0.06,0.11,0.1,0.12,0.88,0.86,0.94,0.92
"7789",7789,248,4,7,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7790",7790,248,4,8,38,1,0.09,0.1,0.1,0.04,0.06,0.04,0.87,0.9,0.95,0.96
"7791",7791,248,4,9,39,1,0.09,0.13,0.13,0.11,0.12,0.3,0.93,0.88,0.88,0.87
"7792",7792,248,4,10,40,1,0.19,0.15,0.18,0.06,0.13,0.05,0.94,0.97,0.91,0.92
"7793",7793,248,5,1,41,1,0.2,0.14,0.11,0.11,0.18,0.12,1,1,0.94,0.88
"7794",7794,248,5,2,42,1,0.17,0.19,0.17,0.17,0.17,0.13,0.87,0.87,0.86,0.92
"7795",7795,248,5,3,43,1,0.1,0.13,0.07,0.13,0.1,0.11,0.89,0.95,0.94,0.85
"7796",7796,248,5,4,44,1,0.09,0.09,0.09,0.06,0.13,0.03,0.96,0.92,0.89,0.91
"7797",7797,248,5,5,45,1,0.07,0.08,0.13,0.08,0.11,0.09,0.89,0.91,0.9,0.91
"7798",7798,248,5,6,46,1,0.53,0.08,0.1,0.09,0.11,0.04,0.86,0.92,0.89,0.81
"7799",7799,248,5,7,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7800",7800,248,5,8,48,1,0.15,0.2,0.1,0.11,0.05,0.15,0.86,0.92,0.96,0.88
"7801",7801,248,5,9,49,1,0.1,0.13,0.14,0.14,0.12,0.07,0.89,0.93,0.92,0.88
"7802",7802,248,5,10,50,1,0.04,0.11,0.09,0.09,0.12,0.09,0.91,0.91,0.92,0.91
"7803",7803,248,6,1,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7804",7804,248,6,2,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7805",7805,248,6,3,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7806",7806,248,6,4,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7807",7807,248,6,5,55,1,0.13,0.13,0.09,0.14,0.16,0.04,0.88,0.87,0.81,0.84
"7808",7808,248,6,6,56,1,0.15,0.07,0.07,0.06,0.09,0.08,0.79,0.67,0.84,0.84
"7809",7809,248,6,7,57,1,0.04,0.12,0.1,0.15,0.11,0.13,0.81,0.95,0.82,0.83
"7810",7810,248,6,8,58,1,0.13,0.11,0.12,0.12,0.11,0.1,0.85,0.86,0.89,0.86
"7811",7811,248,6,9,59,1,0.11,0.13,0.04,0.08,0.06,0.18,0.86,0.84,0.85,0.86
"7812",7812,248,6,10,60,1,0.11,0.12,0.09,0.09,0.03,0.12,0.87,0.94,0.95,0.92
"7813",7813,248,7,1,61,1,0.13,0.13,0.11,0.04,0.03,0.02,0.75,0.81,0.87,0.82
"7814",7814,248,7,2,62,1,0.09,0.14,0.11,0.06,0.14,0.12,0.71,0.84,0.91,0.86
"7815",7815,248,7,3,63,1,0.01,0.07,0.05,0.1,0.08,0.18,0.82,0.82,0.91,0.79
"7816",7816,248,7,4,64,1,0.11,0.2,0.13,0.2,0.07,0.18,0.89,0.16,0.94,0.84
"7817",7817,248,7,5,65,1,0.11,0.12,0.04,0.11,0.13,0.04,0.79,0.83,0.88,0.86
"7818",7818,248,7,6,66,1,0.03,0.08,0.1,0.12,0.18,0.17,0.9,0.87,0.83,0.8
"7819",7819,248,7,7,67,1,0.11,0.1,0.08,0.11,0.11,0.13,0.84,0.92,0.82,0.87
"7820",7820,248,7,8,68,1,0.09,0.11,0.06,0.05,0.1,0.11,0.92,0.9,0.86,0.87
"7821",7821,248,7,9,69,1,0.17,0.12,0.11,0.1,0.1,0.11,0.81,0.81,0.8,0.79
"7822",7822,248,7,10,70,1,0.08,0.12,0.02,0.04,0.07,0.11,0.87,0.87,0.92,0.85
"7823",7823,248,8,1,71,1,0.2,0.15,0.09,0.09,0.11,0.12,0.89,0.95,0.97,0.84
"7824",7824,248,8,2,72,1,0.14,0.1,0.12,0.13,0.12,0.12,0.87,0.85,0.77,0.82
"7825",7825,248,8,3,73,1,0.11,0.14,0.11,0.1,0.11,0.03,0.88,0.83,0.83,0.8
"7826",7826,248,8,4,74,1,0.11,0.08,0.07,0.1,0.1,0.05,0.88,0.82,0.87,0.89
"7827",7827,248,8,5,75,1,0.03,0.1,0.09,0.05,0.05,0.1,0.87,0.87,0.87,0.81
"7828",7828,248,8,6,76,1,0.08,0.09,0.04,0.07,0.09,0.03,0.88,0.9,0.93,0.94
"7829",7829,248,8,7,77,1,0.09,0.14,0.07,0.1,0.11,0.2,0.82,0.89,0.88,0.91
"7830",7830,248,8,8,78,1,0.1,0.1,0.08,0.09,0.07,0.11,0.92,0.88,0.94,0.92
"7831",7831,248,8,9,79,1,0.11,0.15,0.16,0.11,0.08,0.07,0.88,0.83,0.86,0.86
"7832",7832,248,8,10,80,1,0.11,0.87,0.09,0.11,0.11,0.1,0.88,0.87,0.89,0.9
"7833",7833,248,9,1,81,1,0.1,0.12,0.14,0.11,0.15,0.08,0.83,0.88,0.88,0.84
"7834",7834,248,9,2,82,1,0.15,0.21,0.23,0.18,0.11,0.12,0.84,0.9,0.8,0.82
"7835",7835,248,9,3,83,1,0.15,0.11,0.11,0.15,0.12,0.08,0.89,0.92,0.9,0.88
"7836",7836,248,9,4,84,1,0.12,0.07,0.07,0.12,0.06,0.07,0.9,0.92,0.88,0.91
"7837",7837,248,9,5,85,1,0.13,0.11,0.12,0.1,0.12,0.1,0.89,0.86,0.85,0.88
"7838",7838,248,9,6,86,1,0.14,0.1,0.06,0.08,0.11,0.12,0.9,0.85,0.85,0.86
"7839",7839,248,9,7,87,1,0.09,0.08,0.16,0.13,0.11,0.12,0.85,0.87,0.85,0.87
"7840",7840,248,9,8,88,1,0.16,0.07,0.18,0.03,0.1,0.08,0.91,0.86,0.88,0.9
"7841",7841,248,9,9,89,1,0.11,0.06,0.06,0.05,0.03,0.1,0.89,0.88,0.9,0.88
"7842",7842,248,9,10,90,1,0.12,0.12,0.13,0.08,0.11,0.14,0.88,0.92,0.86,0.87
"7843",7843,249,1,1,1,1,0.43,0.26,0.39,0.09,0.54,0.63,0.15,0.29,0.23,0.19
"7844",7844,249,1,2,2,1,0.4,0.46,0.43,0.11,0.27,0.24,0.37,0.46,0.24,0.11
"7845",7845,249,1,3,3,1,0.24,0.2,0.16,0.22,0.31,0.66,0.38,0.28,0.37,0.3
"7846",7846,249,1,4,4,1,0.3,0.22,0.3,0.12,0.76,0.76,0.12,0.42,0.26,0.29
"7847",7847,249,1,5,5,1,0.28,0.31,0.53,0.22,0.46,0.76,0.22,0.24,0.26,0.21
"7848",7848,249,1,6,6,1,0.25,0.21,0.19,0.22,0.51,0.8,0.2,0.2,0.21,0.24
"7849",7849,249,1,7,7,1,0.23,0.27,0.21,0.23,0.71,0.82,0.23,0.39,0.34,0.17
"7850",7850,249,1,8,8,1,0.22,0.26,0.64,0.17,0.16,0.7,0.27,0.14,0.18,0.26
"7851",7851,249,1,9,9,1,0.26,0.24,0.24,0.2,0.24,0.88,0.24,0.21,0.18,0.19
"7852",7852,249,1,10,10,1,0.21,0.29,0.21,0.26,0.22,0.85,0.27,0.3,0.28,0.25
"7853",7853,249,2,1,11,1,0.37,0.2,0.19,0.26,0.2,0.7,0.19,0.23,0.26,0.23
"7854",7854,249,2,2,12,1,0.35,0.3,0.25,0.28,0.45,0.67,0.31,0.26,0.25,0.28
"7855",7855,249,2,3,13,1,0.2,0.11,0.59,0.06,0.47,0.78,0.05,0.15,0.07,0.14
"7856",7856,249,2,4,14,1,0.21,0.16,0.1,0.13,0.17,0.17,0.15,0.13,0.22,0.15
"7857",7857,249,2,5,15,1,0.2,0.19,0.2,0.5,0.33,0.15,0.17,0.18,0.25,0.3
"7858",7858,249,2,6,16,1,0.3,0.27,0.17,0.14,0.58,0.61,0.15,0.21,0.23,0.33
"7859",7859,249,2,7,17,1,0.33,0.3,0.44,0.34,0.44,0.6,0.3,0.28,0.25,0.26
"7860",7860,249,2,8,18,1,0.54,0.24,0.47,0.25,0.51,0.76,0.21,0.21,0.18,0.29
"7861",7861,249,2,9,19,1,0.34,0.21,0.41,0.2,0.19,0.58,0.2,0.21,0.2,0.2
"7862",7862,249,2,10,20,1,0.47,0.27,0.52,0.1,0.54,0.6,0.08,0.07,0.08,0.15
"7863",7863,249,3,1,21,1,0.29,0.2,0.18,0.15,0.58,0.67,0.19,0.19,0.28,0.18
"7864",7864,249,3,2,22,1,0.53,0.25,0.5,0.45,0.42,0.4,0.53,0.53,0.42,0.37
"7865",7865,249,3,3,23,1,0.46,0.44,0.48,0.45,0.48,0.49,0.49,0.46,0.47,0.48
"7866",7866,249,3,4,24,1,0.47,0.45,0.48,0.47,0.47,0.47,0.46,0.46,0.47,0.45
"7867",7867,249,3,5,25,1,0.54,0.53,0.55,0.53,0.61,0.54,0.54,0.55,0.54,0.55
"7868",7868,249,3,6,26,1,0.44,0.45,0.45,0.46,0.45,0.46,0.46,0.46,0.45,0.45
"7869",7869,249,3,7,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7870",7870,249,3,8,28,1,0.52,0.51,0.49,0.48,0.48,0.48,0.48,0.49,0.48,0.49
"7871",7871,249,3,9,29,1,0.88,0.47,0.85,0.13,0.63,0.61,0.04,0.09,0.08,0.06
"7872",7872,249,3,10,30,1,0.44,0.47,0.48,0.46,0.43,0.45,0.46,0.48,0.45,0.46
"7873",7873,249,4,1,31,1,0.58,0.47,0.73,0.2,0.55,0.44,0.16,0.26,0.07,0.45
"7874",7874,249,4,2,32,1,0.47,0.45,0.5,0.46,0.45,0.46,0.4,0.4,0.47,0.46
"7875",7875,249,4,3,33,1,0.45,0.41,0.64,0.54,0.69,0.53,0.44,0.48,0.47,0.53
"7876",7876,249,4,4,34,1,0.49,0.56,0.55,0.54,0.58,0.6,0.57,0.54,0.56,0.6
"7877",7877,249,4,5,35,1,0.52,0.52,0.57,0.62,0.44,0.52,0.46,0.53,0.55,0.55
"7878",7878,249,4,6,36,1,0.48,0.43,0.44,0.46,0.43,0.45,0.43,0.48,0.47,0.48
"7879",7879,249,4,7,37,1,0.54,0.54,0.54,0.54,0.54,0.56,0.55,0.53,0.55,0.53
"7880",7880,249,4,8,38,1,0.58,0.58,0.6,0.58,0.5,0.48,0.47,0.54,0.45,0.45
