"","X","ID","day","missing","Afraid","Active","Alert","Nervous","Attentive","Determined","Hostile","Inspired","Ashamed","Upset"
"3272",35.4,35,40,0,0,0.75,0.75,0,0.75,0.75,0.75,0.75,0,0.75
"3273",35.41,35,41,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5
"3274",35.42,35,42,0,1,0.75,0.75,1,0.75,0.75,0,0.75,0,1
"3275",35.43,35,43,0,1,0.75,0.75,1,0.75,0.75,0.75,0.5,0,1
"3276",35.44,35,44,0,0,0.5,0.75,0,0.5,0.5,0,0.5,0,0
"3277",35.45,35,45,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0
"3278",35.46,35,46,0,0,0.75,0.75,0,0.75,0.75,0,0.5,0,0
"3279",35.47,35,47,0,0,0.75,0.75,0,0.5,0.75,0,0.5,0,0.25
"3280",35.48,35,48,0,0,0.5,0.75,0.25,0.5,0.75,0,0.5,0,0.25
"3281",35.49,35,49,0,0,0.25,0.5,0.25,0.5,0.5,0,0.5,0,0.25
"3282",35.5,35,50,0,0,0.75,0.75,0,0.75,0.75,0,0.75,0,0.5
"3283",35.51,35,51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3284",35.52,35,52,0,0,0.5,0.75,0.25,0.75,0.75,0,0.75,0,0
"3285",35.53,35,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3286",35.54,35,54,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0.25
"3287",35.55,35,55,0,0.25,0.5,0.5,0.25,0.5,0.5,0,0.5,0,0.25
"3288",35.56,35,56,0,0,0.75,0.75,0,0.75,0.75,0.5,0.75,0,0.75
"3289",35.57,35,57,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0
"3290",35.58,35,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3291",35.59,35,59,0,0,0.75,0.5,0,0.5,0.5,0,0.5,0,0
"3292",35.6,35,60,0,0.25,0.75,0.5,0.25,0.5,0.5,0,0.5,0,0
"3293",35.61,35,61,2,0.5,NA,0.75,0.5,0.75,0.75,0,0.75,0.25,0.75
"3294",35.62,35,62,0,0.5,0.5,0.75,0.75,0.75,0.75,0,0.75,0.25,0.25
"3295",35.63,35,63,0,0.25,0.5,0.5,0,0.5,0.75,0,0.5,0,0
"3296",35.64,35,64,0,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0,0.75
"3297",35.65,35,65,0,0.25,0.5,0.75,0.25,0.5,0.5,0,0.5,0,0.25
"3298",35.66,35,66,0,0,0.5,0.75,0,0.75,0.75,0,0.75,0,0.5
"3299",35.67,35,67,0,0,0.75,0.75,0.5,0.75,0.75,0.25,0.5,0,0.75
"3300",35.68,35,68,0,0,0.5,0.75,0.25,0.75,0.75,0.25,0.5,0,0.75
"3301",35.69,35,69,0,0.25,0.5,0.5,0.25,0.5,0.75,0.25,0.5,0,0.5
"3302",35.7,35,70,0,0.25,0.5,0.75,0.25,0.75,0.75,0,0.5,0,0.25
"3303",35.71,35,71,0,0.5,0.5,0.75,0.5,0.75,0.75,0,0.75,0,0.25
"3304",35.72,35,72,0,0,0.75,0.75,0.25,0.75,0.75,0,0.5,0,0.5
"3305",35.73,35,73,0,0,0.75,0.75,0,0.75,0.75,0,0.75,0,0.5
"3306",35.74,35,74,0,0.25,0.75,0.75,0.5,0.75,0.75,0,0.75,0,0.25
"3307",35.75,35,75,0,0.25,0.75,0.75,0.25,0.75,0.75,0,0.5,0,0.25
"3308",35.76,35,76,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.75
"3309",35.77,35,77,0,0.25,0.75,0.75,0.5,0.75,0.75,0,0.5,0,0.5
"3310",35.78,35,78,0,0,0.75,0.75,0.5,0.5,0.75,0,0.5,0,0.25
"3311",35.79,35,79,0,0,0.75,0.75,0.5,0.75,0.75,0,0.75,0,0.25
"3312",35.8,35,80,0,0.25,0.75,0.5,0.25,0.5,0.75,0,0.5,0,0.25
"3313",35.81,35,81,0,0.25,0.75,0.5,0.25,0.75,0.75,0,0.5,0,0.25
"3314",35.82,35,82,0,0.5,0.5,0.75,0.5,0.5,0.5,0,0.5,0.25,0.25
"3315",35.83,35,83,2,NA,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.25
"3316",35.84,35,84,0,0.5,0.5,0.75,0.25,0.75,0.75,0.25,0.5,0,0.75
"3317",35.85,35,85,0,0.5,0.75,0.75,0.5,0.75,0.75,0,0.25,0,0.75
"3318",35.86,35,86,0,0,0.75,0.75,0.5,0.5,0.75,0,0.5,0,0.25
"3319",35.87,35,87,0,0.25,0.5,0.5,0,0.5,0.75,0,0.5,0,0.25
"3320",35.88,35,88,0,0,0.75,0.75,0.25,0.75,0.75,0,0.5,0,0.25
"3321",35.89,35,89,0,0.25,0.75,0.75,0.25,0.75,0.75,0,0.25,0,0.25
"3322",35.9,35,90,0,0,0.75,0.75,0.5,0.75,0.75,0,0.5,0,0.5
"3323",35.91,35,91,0,0,0.75,0.75,0.25,0.5,0.75,0,0.25,0,0
"3324",35.92,35,92,0,0,0.75,0.5,0,0.5,0.75,0,0.25,0,0
"3325",35.93,35,93,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3326",35.94,35,94,0,0.25,0.75,0.75,0.5,0.5,0.75,0.25,0.5,0,0.75
"3327",35.95,35,95,0,0.75,0.5,0.75,1,0.5,0.75,0.25,0.5,0,1
"3328",35.96,35,96,0,0.75,0.25,0.5,0.75,0.5,0.5,0.75,0.25,0,0.75
"3329",35.97,35,97,0,0.25,0.75,0.75,0.25,0.25,0.75,0,0.5,0,0.75
"3330",35.98,35,98,0,0.25,0.5,0.5,0.75,0.5,0.75,0,0.5,0,0.5
"3331",35.99,35,99,0,0,0.75,0.5,0.5,0.5,0.75,0,0.5,0,0.5
"3332",35.1,35,100,0,0,0.75,0.75,0.25,0.5,0.75,0,0.5,0,0.25
"3333",35.101,35,101,0,0,0.75,0.75,0.25,0.5,0.5,0,0.5,0,0
"3334",36.1,36,1,0,0,0.25,0.25,0,0.5,0.5,0,0,0,0
"3335",36.2,36,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3336",36.3,36,3,0,0,0.75,0.75,0,0.5,0.5,0,0.5,0,0
"3337",36.4,36,4,2,0,0.5,0.5,0,0.5,0.75,NA,0.25,0,0
"3338",36.5,36,5,0,0,0.5,0.5,0,0,0.5,0,0.25,0,0
"3339",36.6,36,6,0,0,0.5,0.5,0,0.5,0.5,0,0.25,0,0
"3340",36.7,36,7,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0
"3341",36.8,36,8,0,0,0.5,0.5,0,0.5,0.5,0,0.25,0,0
"3342",36.9,36,9,0,0,0.25,0.5,0,0.25,0.25,0,0.25,0,0.25
"3343",36.1,36,10,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0.25
"3344",36.11,36,11,2,0,0.5,NA,0,0.5,0.25,0,0.25,0,0
"3345",36.12,36,12,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0
"3346",36.13,36,13,0,0,0.25,0.25,0,0,0.5,0,0,0,0
"3347",36.14,36,14,0,0,0.25,0.5,0,0.5,0.5,0,0,0,0
"3348",36.15,36,15,0,0,0.25,0.5,0,0.5,0.5,0,0.25,0,0
"3349",36.16,36,16,0,0,0.5,0.25,0,0.25,0.25,0,0.25,0,0
"3350",36.17,36,17,0,0,0.5,0.5,0,0.5,0.5,0,0.25,0,0
"3351",36.18,36,18,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0
"3352",36.19,36,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3353",36.2,36,20,0,0,0.5,0.5,0,0.5,0.5,0,0.25,0,0
"3354",36.21,36,21,2,0,0.5,0.5,NA,0.5,0.5,0,0.25,0,0
"3355",36.22,36,22,0,0,0.25,0.5,0,0.5,0.25,0,0.25,0,0
"3356",36.23,36,23,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0
"3357",36.24,36,24,0,0,0.5,0.5,0,0.25,0.5,0,0,0,0
"3358",36.25,36,25,0,0,0.5,0.5,0,0.5,0.25,0,0,0,0
"3359",36.26,36,26,0,0,0.5,0.5,0,0.5,0.5,0,0.25,0,0
"3360",36.27,36,27,0,0,0.5,0.5,0,0.5,0.5,0,0.25,0,0
"3361",36.28,36,28,0,0,0.5,0.5,0,0,0,0,0.25,0,0
"3362",36.29,36,29,0,0,0.5,0.5,0,0.5,0,0,0.25,0,0
"3363",36.3,36,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3364",36.31,36,31,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0
"3365",36.32,36,32,0,0,0.5,0.5,0,0,0,0,0.25,0,0
"3366",36.33,36,33,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0
"3367",36.34,36,34,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0
"3368",36.35,36,35,0,0,0.25,0,0,0.5,0,0,0.25,0,0
"3369",36.36,36,36,0,0,0.25,0.25,0,0.5,0.25,0,0.25,0,0
"3370",36.37,36,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3371",36.38,36,38,0,0,0.25,0.5,0,0.25,0.25,0,0,0,0
"3372",36.39,36,39,0,0,0.5,0.5,0,0.5,0.5,0,0.25,0,0
"3373",36.4,36,40,0,0,0.5,0.5,0,0.25,0.75,0,0.5,0,0
"3374",36.41,36,41,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0
"3375",36.42,36,42,0,0,0.5,0.5,0,0,0,0,0.5,0,0
"3376",36.43,36,43,2,0,0,0,0,0.25,NA,0.5,0,0,0
"3377",36.44,36,44,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0
"3378",36.45,36,45,0,0,0.25,0.25,0,0.25,0.5,0,0.25,0,0
"3379",36.46,36,46,0,0,0.25,0.5,0,0.25,0.25,0,0.25,0,0
"3380",36.47,36,47,0,0,0.5,0.5,0,0.5,0.25,0,0.25,0,0
"3381",36.48,36,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3382",36.49,36,49,0,0,0.5,0.5,0,0.5,0.25,0,0.25,0,0
"3383",36.5,36,50,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0
"3384",36.51,36,51,0,0,0.5,0.5,0,0,0.5,0,0.25,0,0
"3385",36.52,36,52,0,0,0.5,0.5,0,0.5,0.25,0,0,0,0
"3386",36.53,36,53,0,0,0.5,0.5,0,0,0.5,0,0,0,0
"3387",36.54,36,54,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0
"3388",36.55,36,55,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0
"3389",36.56,36,56,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0
"3390",36.57,36,57,0,0,0.25,0.5,0,0.5,0.5,0,0.25,0,0
"3391",36.58,36,58,0,0,0.5,0.5,0,0.5,0.25,0,0.25,0,0
"3392",36.59,36,59,0,0,0,0,0,0,0,0,0,0,0
"3393",36.6,36,60,0,0,0.5,0.25,0,0.25,0.5,0,0.25,0,0
"3394",36.61,36,61,0,0,0.5,0.5,0,0.5,0,0,0,0,0
"3395",36.62,36,62,0,0,0,0,0,0,0.5,0,0.25,0,0
"3396",36.63,36,63,0,0,0.5,0.25,0,0,0.25,0,0.25,0,0
"3397",36.64,36,64,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0,0
"3398",36.65,36,65,0,0,0.5,0.25,0,0.25,0.25,0,0,0,0
"3399",36.66,36,66,0,0,0.5,0.5,0,0.25,0.25,0,0.25,0,0
"3400",36.67,36,67,0,0,0.5,0.5,0,0.25,0.25,0,0,0,0
"3401",36.68,36,68,0,0,0.5,0.5,0,0.25,0.25,0,0,0,0
"3402",36.69,36,69,0,0,0,0,0,0,0,0,0,0,0
"3403",36.7,36,70,0,0,0.5,0.25,0,0.25,0.25,0,0.25,0,0
"3404",36.71,36,71,0,0,0.5,0.25,0,0.25,0.25,0,0,0,0
"3405",36.72,36,72,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0
"3406",36.73,36,73,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0
"3407",36.74,36,74,0,0,0.5,0.5,0,0.5,0.25,0,0.25,0,0
"3408",36.75,36,75,0,0,0.5,0.25,0,0.5,0.25,0,0.25,0,0
"3409",36.76,36,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3410",36.77,36,77,0,0,0.25,0,0,0,0,0,0.25,0,0
"3411",36.78,36,78,0,0,0.5,0.5,0,0.5,0.25,0,0,0,0
"3412",36.79,36,79,0,0,0.25,0.25,0,0.25,0,0,0,0,0
"3413",36.8,36,80,0,0,0,0,0,0,0,0,0,0,0
"3414",36.81,36,81,0,0,0,0.25,0,0.25,0.25,0,0,0,0
"3415",36.82,36,82,0,0,0.5,0,0,0.25,0,0,0.25,0,0
"3416",36.83,36,83,0,0,0.5,0,0,0.5,0.25,0,0.25,0,0
"3417",36.84,36,84,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0
"3418",36.85,36,85,0,0,0.5,0.5,0,0.25,0.25,0,0.25,0,0.25
"3419",36.86,36,86,0,0,0.5,0.25,0,0,0,0,0.25,0,0
"3420",36.87,36,87,0,0,0.5,0.25,0,0.25,0.25,0,0.25,0,0
