"","X","ID","day","beep","observationID","missing","Sad","Lonely","Jittery","Nervous","Angry","Hostile","Happy","Excited"
"267",267,115,5,3,15,0,0,0,0,0,0,0,0.75,0.75
"268",268,115,6,1,16,0,0,0,0,0,0,0,1,1
"269",269,115,6,2,17,0,0,0.5,0,0,0,0,0.75,0.75
"270",270,115,6,3,18,0,0,0,0,0,0,0,0.75,0.75
"271",271,116,1,1,1,0,0,0,0.25,0.25,0,0,0.5,0.5
"272",272,116,1,2,2,0,0.25,0,0.25,0.5,0,0,0.5,0.25
"273",273,116,1,3,3,0,0,0.25,0.5,0.5,0,0,0.5,0.25
"274",274,116,2,1,4,0,0,0.25,0.25,0.25,0,0,0.5,0.25
"275",275,116,2,2,5,0,0,0,0.5,0.25,0,0,0.5,0.25
"276",276,116,2,3,6,0,0,0,0.25,0.25,0,0,0.5,0.25
"277",277,116,3,1,7,0,0.25,0,0.25,0.5,0,0,0.25,0.25
"278",278,116,3,2,8,0,0,0,0.25,0,0,0,0.25,0.25
"279",279,116,3,3,9,0,0,0,0.25,0,0,0,0.5,0.25
"280",280,116,4,1,10,0,0.25,0,0.25,0,0,0,0.25,0.25
"281",281,116,4,2,11,0,0,0,0.25,0.5,0,0,0.25,0.25
"282",282,116,4,3,12,0,0,0,0,0,0,0,0.25,0.25
"283",283,116,5,1,13,0,0,0,0.25,0.25,0,0,0.25,0
"284",284,116,5,2,14,0,0.25,0,0.25,0.5,0,0,0.25,0
"285",285,116,5,3,15,0,0.25,0.5,0,0.5,0,0,0.25,0
"286",286,116,6,1,16,0,0,0.5,0.25,0.25,0,0,0.25,0.25
"287",287,116,6,2,17,0,0,0.25,0,0,0,0,0.25,0.25
"288",288,116,6,3,18,1,NA,NA,NA,NA,NA,NA,NA,NA
"289",289,117,1,1,1,0,0.75,0.5,0.5,1,0.25,0.25,0.5,0
"290",290,117,1,2,2,0,0.75,0.75,0.5,0.75,0.5,0,0.5,0.25
"291",291,117,1,3,3,0,0.5,0.5,0.25,0.75,0.25,0,0.25,0
"292",292,117,2,1,4,0,0.5,0.25,1,1,0.5,0,0.5,0.25
"293",293,117,2,2,5,0,0.5,0.25,0.75,1,0.25,0,0.5,0.25
"294",294,117,2,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"295",295,117,3,1,7,0,0.25,0,0.25,0.25,0,0,1,0.75
"296",296,117,3,2,8,0,0,0,0,0.25,0.25,0,1,1
"297",297,117,3,3,9,0,0.5,0,0,0.25,0,0,1,1
"298",298,117,4,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA
"299",299,117,4,2,11,0,0,0,0,0.25,0,0,0.5,0.5
"300",300,117,4,3,12,0,0,0,0,0,0,0,0.5,0.25
"301",301,117,5,1,13,0,0.25,0.75,0,0,0,0,0.5,0.75
"302",302,117,5,2,14,0,0,0.25,0,0,0,0,0.5,0.75
"303",303,117,5,3,15,1,NA,NA,NA,NA,NA,NA,NA,NA
"304",304,117,6,1,16,1,NA,NA,NA,NA,NA,NA,NA,NA
"305",305,117,6,2,17,1,NA,NA,NA,NA,NA,NA,NA,NA
"306",306,117,6,3,18,1,NA,NA,NA,NA,NA,NA,NA,NA
"307",307,118,1,1,1,0,0.75,0.5,0.25,0.75,0.75,0.75,0.5,0.25
"308",308,118,1,2,2,0,0.5,0.5,0,0.5,0.25,0.25,0.5,0.25
"309",309,118,1,3,3,0,0.25,0.5,0,0.25,0.5,0.25,0.25,0.25
"310",310,118,2,1,4,0,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.25
"311",311,118,2,2,5,0,0.25,0.25,0,0,0.25,0.25,0.25,0.25
"312",312,118,2,3,6,0,0,0.25,0,0.5,0,0,0.25,0
"313",313,118,3,1,7,0,0,0,0,0.25,0,0.25,0.25,0.25
