"","X","ID","day","beep","obsNumber","missed","Discontent","Calm","Energetic","Wellbeing","Tense","Happy"
"757",33.736,33,6,7,29,1,NA,NA,NA,NA,NA,NA
"758",33.735,33,6,8,30,1,NA,NA,NA,NA,NA,NA
"759",33.734,33,7,1,31,0,0.5,1,0.5,0.5,0.5,0.5
"760",33.733,33,7,2,32,0,1,0.666666666666667,0.666666666666667,0.833333333333333,1,0.833333333333333
"761",33.732,33,7,3,33,1,NA,NA,NA,NA,NA,NA
"762",33.731,33,7,4,34,1,NA,NA,NA,NA,NA,NA
"763",33.73,33,7,5,35,0,1,1,1,1,1,1
"764",33.729,33,7,6,36,1,NA,NA,NA,NA,NA,NA
"765",34.803,34,1,1,1,1,NA,NA,NA,NA,NA,NA
"766",34.802,34,1,2,2,0,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.166666666666667
"767",34.801,34,1,3,3,1,NA,NA,NA,NA,NA,NA
"768",34.8,34,1,4,4,1,NA,NA,NA,NA,NA,NA
"769",34.799,34,1,5,5,1,NA,NA,NA,NA,NA,NA
"770",34.798,34,1,6,6,0,0.5,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333
"771",34.797,34,1,7,7,0,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.333333333333333
"772",34.796,34,2,1,8,1,NA,NA,NA,NA,NA,NA
"773",34.795,34,2,2,9,0,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.5,0.333333333333333
"774",34.794,34,2,3,10,0,0.333333333333333,0.5,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667
"775",34.793,34,2,4,11,0,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333
"776",34.792,34,2,5,12,0,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.166666666666667
"777",34.791,34,2,6,13,0,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.5,0.333333333333333
"778",34.79,34,2,7,14,1,NA,NA,NA,NA,NA,NA
"779",34.789,34,2,8,15,1,NA,NA,NA,NA,NA,NA
"780",34.788,34,3,1,16,1,NA,NA,NA,NA,NA,NA
"781",34.787,34,3,2,17,0,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.5,0.333333333333333
"782",34.786,34,3,3,18,0,0.5,0.666666666666667,0.333333333333333,0.166666666666667,0.666666666666667,0.333333333333333
"783",34.785,34,3,4,19,1,NA,NA,NA,NA,NA,NA
"784",34.784,34,3,5,20,0,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.333333333333333
"785",34.783,34,3,6,21,0,0.666666666666667,0.5,0.666666666666667,0.5,0.166666666666667,0.333333333333333
"786",34.782,34,3,7,22,0,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.333333333333333
"787",34.781,34,3,8,23,0,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.333333333333333
"788",34.78,34,4,1,24,0,0.666666666666667,0.666666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.5
"789",34.779,34,4,2,25,0,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5
"790",34.778,34,4,3,26,0,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5
"791",34.777,34,4,4,27,0,0.5,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.333333333333333
"792",34.776,34,4,5,28,0,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.5
"793",34.775,34,4,6,29,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.5
"794",34.774,34,4,7,30,0,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"795",34.773,34,4,8,31,0,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.5
"796",34.772,34,5,1,32,0,0.166666666666667,0.5,0.166666666666667,0.333333333333333,0.5,0.5
"797",34.771,34,5,2,33,0,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"798",34.77,34,5,3,34,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5
"799",34.769,34,5,4,35,0,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.5,0.5
"800",34.768,34,5,5,36,0,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.5
"801",34.767,34,5,6,37,0,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.333333333333333,0.333333333333333
"802",34.766,34,5,7,38,0,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.5
"803",34.765,34,5,8,39,0,0.5,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333
"804",35.834,35,1,1,1,0,1,0.833333333333333,0.5,1,0.833333333333333,0.833333333333333
"805",35.833,35,1,2,2,1,NA,NA,NA,NA,NA,NA
"806",35.832,35,1,3,3,0,0.833333333333333,0.833333333333333,0.333333333333333,1,0.666666666666667,0.833333333333333
"807",35.831,35,1,4,4,0,0.833333333333333,0.666666666666667,0.166666666666667,1,0.666666666666667,0.833333333333333
"808",35.83,35,1,5,5,0,0.833333333333333,0.666666666666667,0,1,0.666666666666667,0.833333333333333
"809",35.829,35,1,6,6,1,NA,NA,NA,NA,NA,NA
"810",35.828,35,1,7,7,0,0.833333333333333,0.833333333333333,0,1,0.833333333333333,0.833333333333333
"811",35.827,35,1,8,8,0,0.833333333333333,0.833333333333333,0,1,1,0.833333333333333
"812",35.826,35,2,1,9,0,1,1,0.5,1,0.833333333333333,0.833333333333333
"813",35.825,35,2,2,10,0,1,1,0.5,1,0.666666666666667,0.833333333333333
"814",35.824,35,2,3,11,0,0.833333333333333,1,0.666666666666667,1,0.5,0.833333333333333
"815",35.823,35,2,4,12,0,1,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667
"816",35.822,35,2,5,13,1,NA,NA,NA,NA,NA,NA
"817",35.821,35,2,6,14,0,1,0.833333333333333,0.666666666666667,1,0.666666666666667,1
"818",35.82,35,2,7,15,1,NA,NA,NA,NA,NA,NA
"819",35.819,35,3,1,16,0,1,1,0.333333333333333,0.833333333333333,0.666666666666667,0.833333333333333
"820",35.818,35,3,2,17,0,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333
"821",35.817,35,3,3,18,0,1,1,0.333333333333333,0.666666666666667,0.666666666666667,0.833333333333333
"822",35.816,35,3,4,19,0,0.833333333333333,0.666666666666667,0.333333333333333,1,0.666666666666667,0.833333333333333
"823",35.815,35,3,5,20,0,0.833333333333333,0.833333333333333,0,1,0.833333333333333,0.833333333333333
"824",35.814,35,3,6,21,0,0.833333333333333,0.833333333333333,0.166666666666667,1,0.666666666666667,1
