"","X","ID","day","beep","observationID","missing","Lively","FullOfEnergy","Energetic","Happy","Pleased","Helpful","AtEase","Calm","Relaxed","Sad","Depressed","Unhappy","OnEdge","Nervous","Tense","Hostile","Resentful","Angry"
"119",119,5,2,3,7,0,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,1,0.666666666666667,1,0.333333333333333,0.666666666666667,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0
"120",120,5,2,4,8,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,1,0,0,0
"121",121,5,3,1,9,0,0,0,0,0.333333333333333,0.333333333333333,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0,0,0
"122",122,5,3,2,10,0,0,0,0,0.333333333333333,0.333333333333333,0,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0,0,0
"123",123,5,3,3,11,0,0,0,0,0.333333333333333,0.333333333333333,0,0.666666666666667,0.333333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0
"124",124,5,3,4,12,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,1,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.666666666666667,0,0,0
"125",125,5,4,1,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",126,5,4,2,14,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.666666666666667,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0.666666666666667
"127",127,5,4,3,15,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,0.666666666666667,0,1,0,0,0.666666666666667
"128",128,5,4,4,16,0,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,1,1,1,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0
"129",129,5,5,1,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",130,5,5,2,18,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0.666666666666667,0,1,0,0,0
"131",131,5,5,3,19,0,0.333333333333333,0,0.333333333333333,0.666666666666667,1,0.333333333333333,1,0.333333333333333,1,0,0.333333333333333,0,0.333333333333333,0,0.666666666666667,0,0,0
"132",132,5,5,4,20,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0.333333333333333,0,1,0,0.666666666666667,0,0,0
"133",133,5,6,1,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,5,6,2,22,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0,0,0
"135",135,5,6,3,23,0,0,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0,0.666666666666667,0,0,0
"136",136,5,6,4,24,0,0.333333333333333,0,0,0.666666666666667,0.666666666666667,0,1,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0.666666666666667,0,0.666666666666667,0,0,0
"137",137,5,7,1,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",138,5,7,2,26,0,0,0,0,0,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0,1,0,0,0.333333333333333
"139",139,5,7,3,27,0,0.666666666666667,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0.666666666666667,0,0.333333333333333,0,0.333333333333333,0,1,0,0,0
"140",140,5,7,4,28,0,0,0,0,0.333333333333333,0.333333333333333,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0,1,0,0,0
"141",141,6,1,1,1,0,0.666666666666667,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"142",142,6,1,2,2,0,0.666666666666667,0,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0
"143",143,6,1,3,3,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0
"144",144,6,1,4,4,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0
"145",145,6,2,1,5,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333
"146",146,6,2,2,6,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333
"147",147,6,2,3,7,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0
