"","ID","Afraid","Ashamed","Distressed","Guilty","Hostile","Irritable","Jittery","Nervous","Scared","Upset","Frightened","Shaky","Angry","Scornful","Disgusted","Loathing","Sad","Blue","Downhearted","Alone","Lonely","Active","Alert","Attentive","Determined","Enthusiastic","Excited","Inspired","Interested","Proud","Strong"
"121",80881,0.10917450024981,0.0927082024320481,0.275575059774707,0.139135788716227,0.120179178705251,0.187049244260409,0.0853057265299232,0.162385572614767,0.129730133866461,0.2606984132548,0.0716360089552478,0.0549961620425151,0.151361404521267,0.0913865127811053,0.0792421616324958,0.162162248758409,0.206188384702536,0.242848381076509,0.262839952670363,0.174867003412102,0.207708593270488,0.245831859477374,0.297758026717176,0.26798584566085,0.324158357997802,0.274999698275236,0.268434385933608,0.233067064209485,0.241543723441302,0.308130372845743,0.312614545485883
"122",80910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",80911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",80920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",80921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",80930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",80931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",80940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",80941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",80950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
